Time,Z
2003-03-03T16:27:20.000,0.095171593
2003-03-03T16:27:25.000,0.1030168769
2003-03-03T16:27:30.000,0.110859055
2003-03-03T16:27:35.000,0.1186978842
2003-03-03T16:27:40.000,0.1265331214
2003-03-03T16:27:45.000,0.1343645237
2003-03-03T16:27:50.000,0.1421918484
2003-03-03T16:27:55.000,0.1500148525
2003-03-03T16:28:00.000,0.1578332936
2003-03-03T16:28:05.000,0.1656469291
2003-03-03T16:28:10.000,0.1734555168
2003-03-03T16:28:15.000,0.1812588144
2003-03-03T16:28:20.000,0.1890565798
2003-03-03T16:28:25.000,0.1968485713
2003-03-03T16:28:30.000,0.204634547
2003-03-03T16:28:35.000,0.2124142654
2003-03-03T16:28:40.000,0.2201874851
2003-03-03T16:28:45.000,0.227953965
2003-03-03T16:28:50.000,0.2357134641
2003-03-03T16:28:55.000,0.2434657416
2003-03-03T16:29:00.000,0.2512105569
2003-03-03T16:29:05.000,0.2589476698
2003-03-03T16:29:10.000,0.2666768399
2003-03-03T16:29:15.000,0.2743978276
2003-03-03T16:29:20.000,0.2821103931
2003-03-03T16:29:25.000,0.289814297
2003-03-03T16:29:30.000,0.2975093003
2003-03-03T16:29:35.000,0.305195164
2003-03-03T16:29:40.000,0.3128716496
2003-03-03T16:29:45.000,0.3205385186
2003-03-03T16:29:50.000,0.3281955332
2003-03-03T16:29:55.000,0.3358424555
2003-03-03T16:30:00.000,0.3434790482
2003-03-03T16:30:05.000,0.3511050741
2003-03-03T16:30:10.000,0.3587202964
2003-03-03T16:30:15.000,0.3663244787
2003-03-03T16:30:20.000,0.3739173847
2003-03-03T16:30:25.000,0.3814987788
2003-03-03T16:30:30.000,0.3890684254
2003-03-03T16:30:35.000,0.3966260894
2003-03-03T16:30:40.000,0.4041715362
2003-03-03T16:30:45.000,0.4117045313
2003-03-03T16:30:50.000,0.4192248408
2003-03-03T16:30:55.000,0.4267322311
2003-03-03T16:31:00.000,0.434226469
2003-03-03T16:31:05.000,0.4417073216
2003-03-03T16:31:10.000,0.4491745566
2003-03-03T16:31:15.000,0.4566279419
2003-03-03T16:31:20.000,0.4640672462
2003-03-03T16:31:25.000,0.4714922381
2003-03-03T16:31:30.000,0.478902687
2003-03-03T16:31:35.000,0.4862983628
2003-03-03T16:31:40.000,0.4936790355
2003-03-03T16:31:45.000,0.5010444759
2003-03-03T16:31:50.000,0.508394455
2003-03-03T16:31:55.000,0.5157287446
2003-03-03T16:32:00.000,0.5230471167
2003-03-03T16:32:05.000,0.5303493438
2003-03-03T16:32:10.000,0.5376351991
2003-03-03T16:32:15.000,0.5449044562
2003-03-03T16:32:20.000,0.5521568891
2003-03-03T16:32:25.000,0.5593922724
2003-03-03T16:32:30.000,0.5666103813
2003-03-03T16:32:35.000,0.5738109914
2003-03-03T16:32:40.000,0.580993879
2003-03-03T16:32:45.000,0.5881588208
2003-03-03T16:32:50.000,0.5953055942
2003-03-03T16:32:55.000,0.6024339769
2003-03-03T16:33:00.000,0.6095437475
2003-03-03T16:33:05.000,0.6166346849
2003-03-03T16:33:10.000,0.6237065687
2003-03-03T16:33:15.000,0.6307591792
2003-03-03T16:33:20.000,0.637792297
2003-03-03T16:33:25.000,0.6448057037
2003-03-03T16:33:30.000,0.6517991812
2003-03-03T16:33:35.000,0.658772512
2003-03-03T16:33:40.000,0.6657254795
2003-03-03T16:33:45.000,0.6726578675
2003-03-03T16:33:50.000,0.6795694605
2003-03-03T16:33:55.000,0.6864600437
2003-03-03T16:34:00.000,0.6933294029
2003-03-03T16:34:05.000,0.7001773245
2003-03-03T16:34:10.000,0.7070035956
2003-03-03T16:34:15.000,0.7138080041
2003-03-03T16:34:20.000,0.7205903385
2003-03-03T16:34:25.000,0.7273503878
2003-03-03T16:34:30.000,0.7340879421
2003-03-03T16:34:35.000,0.7408027917
2003-03-03T16:34:40.000,0.7474947281
2003-03-03T16:34:45.000,0.7541635431
2003-03-03T16:34:50.000,0.7608090295
2003-03-03T16:34:55.000,0.7674309806
2003-03-03T16:35:00.000,0.7740291908
2003-03-03T16:35:05.000,0.7806034547
2003-03-03T16:35:10.000,0.7871535681
2003-03-03T16:35:15.000,0.7936793274
2003-03-03T16:35:20.000,0.8001805297
2003-03-03T16:35:25.000,0.8066569729
2003-03-03T16:35:30.000,0.8131084557
2003-03-03T16:35:35.000,0.8195347777
2003-03-03T16:35:40.000,0.8259357389
2003-03-03T16:35:45.000,0.8323111406
2003-03-03T16:35:50.000,0.8386607844
2003-03-03T16:35:55.000,0.8449844731
2003-03-03T16:36:00.000,0.8512820101
2003-03-03T16:36:05.000,0.8575531997
2003-03-03T16:36:10.000,0.863797847
2003-03-03T16:36:15.000,0.8700157578
2003-03-03T16:36:20.000,0.876206739
2003-03-03T16:36:25.000,0.8823705981
2003-03-03T16:36:30.000,0.8885071436
2003-03-03T16:36:35.000,0.8946161847
2003-03-03T16:36:40.000,0.9006975317
2003-03-03T16:36:45.000,0.9067509955
2003-03-03T16:36:50.000,0.912776388
2003-03-03T16:36:55.000,0.918773522
2003-03-03T16:37:00.000,0.9247422112
2003-03-03T16:37:05.000,0.93068227
2003-03-03T16:37:10.000,0.936593514
2003-03-03T16:37:15.000,0.9424757594
2003-03-03T16:37:20.000,0.9483288235
2003-03-03T16:37:25.000,0.9541525244
2003-03-03T16:37:30.000,0.9599466813
2003-03-03T16:37:35.000,0.9657111141
2003-03-03T16:37:40.000,0.9714456437
2003-03-03T16:37:45.000,0.9771500921
2003-03-03T16:37:50.000,0.9828242819
2003-03-03T16:37:55.000,0.988468037
2003-03-03T16:38:00.000,0.9940811821
2003-03-03T16:38:05.000,0.9996635428
2003-03-03T16:38:10.000,1.0052149458
2003-03-03T16:38:15.000,1.0107352186
2003-03-03T16:38:20.000,1.0162241898
2003-03-03T16:38:25.000,1.021681689
2003-03-03T16:38:30.000,1.0271075466
2003-03-03T16:38:35.000,1.0325015943
2003-03-03T16:38:40.000,1.0378636645
2003-03-03T16:38:45.000,1.0431935908
2003-03-03T16:38:50.000,1.0484912077
2003-03-03T16:38:55.000,1.0537563507
2003-03-03T16:39:00.000,1.0589888564
2003-03-03T16:39:05.000,1.0641885624
2003-03-03T16:39:10.000,1.0693553073
2003-03-03T16:39:15.000,1.0744889306
2003-03-03T16:39:20.000,1.0795892732
2003-03-03T16:39:25.000,1.0846561767
2003-03-03T16:39:30.000,1.0896894839
2003-03-03T16:39:35.000,1.0946890386
2003-03-03T16:39:40.000,1.0996546857
2003-03-03T16:39:45.000,1.1045862711
2003-03-03T16:39:50.000,1.1094836419
2003-03-03T16:39:55.000,1.1143466461
2003-03-03T16:40:00.000,1.119175133
2003-03-03T16:40:05.000,1.1239689526
2003-03-03T16:40:10.000,1.1287279564
2003-03-03T16:40:15.000,1.1334519969
2003-03-03T16:40:20.000,1.1381409274
2003-03-03T16:40:25.000,1.1427946026
2003-03-03T16:40:30.000,1.1474128783
2003-03-03T16:40:35.000,1.1519956113
2003-03-03T16:40:40.000,1.1565426595
2003-03-03T16:40:45.000,1.161053882
2003-03-03T16:40:50.000,1.165529139
2003-03-03T16:40:55.000,1.1699682918
2003-03-03T16:41:00.000,1.1743712029
2003-03-03T16:41:05.000,1.1787377358
2003-03-03T16:41:10.000,1.1830677553
2003-03-03T16:41:15.000,1.1873611273
2003-03-03T16:41:20.000,1.1916177187
2003-03-03T16:41:25.000,1.1958373978
2003-03-03T16:41:30.000,1.2000200338
2003-03-03T16:41:35.000,1.2041654974
2003-03-03T16:41:40.000,1.2082736601
2003-03-03T16:41:45.000,1.2123443948
2003-03-03T16:41:50.000,1.2163775755
2003-03-03T16:41:55.000,1.2203730774
2003-03-03T16:42:00.000,1.2243307768
2003-03-03T16:42:05.000,1.2282505513
2003-03-03T16:42:10.000,1.2321322796
2003-03-03T16:42:15.000,1.2359758417
2003-03-03T16:42:20.000,1.2397811187
